file,function,comment
FRONT,PMINITIALIZE ,""
FRONT,INIT_CHAR ,""
FRONT,INIT_DICTIO ,""
FRONT,MARK ,""
FRONT,SET_VAL ,""
FRONT,EQUATE ,""
FRONT,STORE_IDIOM ,""
FRONT,STORE_PAT ,""
FRONT,ADDPROP ,""
FRONT,GET_CHUCK ,""
FRONT,OPEN_DISK ,""
FRONT,READUPTO ,""
FRONT,CLOSE_DISK ,""
FRONT,GET_QUESTION ,""
FRONT,READ_TOKEN ,""
FRONT,READ_CLEAN ,""
FRONT,GET_SAFE ,""
FRONT,FIND_WORDS ,""
FRONT,FIND_WORD ,""
FRONT,DE_SUFFIX ,""
FRONT,ROOT_VAL ,""
FRONT,RE_SPELL ,""
FRONT,NEXT_KEY ,""
FRONT,TRANSPOSE ,""
FRONT,LEARN ,""
FRONT,GET_INP ,""
FRONT,FPRINT ,""
FRONT,CANONIZE ,""
FRONT,IDIOM_VAL ,""
FRONT,SAME ,""
FRONT,SEGMENT ,""
FRONT,SEGMENT1 ,""
FRONT,WRITE_SP ,""
FRONT,WRITE_CP ,""
FRONT,TRANSLATE ,""
FRONT,MATCH ,""
FRONT,DE_FLAG ,""
FRONT,ANAPH_REF ,""
FRONT,DROP_ONE ,""
FRONT,DROP_ONE_REV ,""
FRONT,DE_FILL ,""
FRONT,GET_NAME ,""
FRONT,FIRST_LAMBDA ,""
FRONT,WINDOW ,""
FRONT,WINDOWSET ,""
FRONT,WINDOW_PRINT ,""
FRONT,CYCLE ,""
FRONT,TEST_PATTERN ,""
FRONT,RUN ,""
FRONT,RESTART ,""
OPAR3,TEN ,""
OPAR3,EIGHT ,""
OPAR3,LAPIN FSUBR) ,""
OPAR3,OPARINITIALIZE ,""
OPAR3,CHECKFLARE ,""
OPAR3,DELREF ,""
OPAR3,DELSTMT ,""
OPAR3,FLAREREF ,""
OPAR3,ASCAN ,""
OPAR3,CHOOSE ,""
OPAR3,CHOOSEDEL ,""
OPAR3,DELCHECK ,""
OPAR3,DELETE ,""
OPAR3,DELETEP ,""
OPAR3,FIXPTRS ,""
OPAR3,FLRECORD ,""
OPAR3,FLMOD ,""
OPAR3,FLARELEAD ,""
OPAR3,FLSTMT ,""
OPAR3,LEADON ,""
OPAR3,MEMBER3 ,""
OPAR3,MISCQ ,""
OPAR3,MISCS ,""
OPAR3,MODIFVAR ,""
OPAR3,MAX ,""
OPAR3,RESTART ,""
